OBSYMD,DAMCD,RF,IQTY
19740101,1012110,0,10
19740102,1012110,0,9
19740103,1012110,0,4.8
19740104,1012110,0,6.1
19740105,1012110,0,5.8
19740106,1012110,0,8.7
19740107,1012110,0,9.4
19740108,1012110,0,6.8
19740109,1012110,0,6.2
19740110,1012110,0,3.5
19740111,1012110,0,5.1
19740112,1012110,0,4.5
19740113,1012110,0,6.5
19740114,1012110,0,6.4
19740115,1012110,0,8.9
19740116,1012110,0,5.6
19740117,1012110,0,5.3
19740118,1012110,0,5.3
19740119,1012110,0,4.9
19740120,1012110,0,4.4
19740121,1012110,8,7.3
19740122,1012110,0,7.8
19740123,1012110,0,10.4
19740124,1012110,0,7.1
19740125,1012110,0,5.5
19740126,1012110,0,3.8
19740127,1012110,0.9,4
19740128,1012110,0,4
19740129,1012110,0,6.4
19740130,1012110,0,6.5
19740131,1012110,0,6.4
19740201,1012110,0,6.3
19740202,1012110,0,3.8
19740203,1012110,0,6.3
19740204,1012110,0,6.9
19740205,1012110,1.2,8.3
19740206,1012110,0,10.4
19740207,1012110,2,6.8
19740208,1012110,1.6,6.9
19740209,1012110,0,6.7
19740210,1012110,0.1,5.9
19740211,1012110,0,5.7
19740212,1012110,4,6.3
19740213,1012110,0,8.4
19740214,1012110,0,8.3
19740215,1012110,4.8,7.3
19740216,1012110,0,10.4
19740217,1012110,0,10.1
19740218,1012110,0,10.9
19740219,1012110,4.2,9.4
19740220,1012110,0,9.4
19740221,1012110,0,7.9
19740222,1012110,0.1,15.5
19740223,1012110,0,7.9
19740224,1012110,0,11.9
19740225,1012110,0,7.9
19740226,1012110,0,4
19740227,1012110,0,7.9
19740228,1012110,0,4
19740301,1012110,0,7.9
19740302,1012110,0,4
19740303,1012110,0,7.9
19740304,1012110,0,7
19740305,1012110,2.3,8
19740306,1012110,16.5,12
19740307,1012110,1.3,27.9
19740308,1012110,0,27.9
19740309,1012110,3.5,23.9
19740310,1012110,0,20.3
19740311,1012110,0.5,20
19740312,1012110,0,15.8
19740313,1012110,0,7.8
19740314,1012110,0,12.8
19740315,1012110,0,15.2
19740316,1012110,0,13.8
19740317,1012110,0,13.2
19740318,1012110,0.4,8
19740319,1012110,0,8.2
19740320,1012110,0.1,6.4
19740321,1012110,3,5.4
19740322,1012110,0,9.8
19740323,1012110,0,7.6
19740324,1012110,0,11.1
19740325,1012110,0,7.7
19740326,1012110,0.1,8.7
19740327,1012110,3.2,9.4
19740328,1012110,0,15.3
19740329,1012110,0,14
19740330,1012110,0,21
19740331,1012110,3.2,21.2
19740401,1012110,0,32.1
19740402,1012110,0,56.6
19740403,1012110,0,46.8
19740404,1012110,11.6,33.6
19740405,1012110,0,40.5
19740406,1012110,0.3,84.2
19740407,1012110,30.9,71.3
19740408,1012110,0,309.4
19740409,1012110,0,272.6
19740410,1012110,0,150.3
19740411,1012110,0,102.7
19740412,1012110,0,84.7
19740413,1012110,14.6,78
19740414,1012110,0,70.9
19740415,1012110,0,107.8
19740416,1012110,0,103.8
19740417,1012110,5.1,91.7
19740418,1012110,0.5,78.4
19740419,1012110,0,61.9
19740420,1012110,5.7,60.4
19740421,1012110,24.6,60.2
19740422,1012110,9,132.8
19740423,1012110,0,204.3
19740424,1012110,2,145.5
19740425,1012110,3.6,118.5
19740426,1012110,0,106.7
19740427,1012110,0,107.1
19740428,1012110,9.6,92.6
19740429,1012110,0,80.2
19740430,1012110,0,115.3
19740501,1012110,0,100.3
19740502,1012110,0,78.6
19740503,1012110,0,76.5
19740504,1012110,0,59.9
19740505,1012110,0,46.8
